Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","27","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","85.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","89.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","92.66","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","2.22","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","9.07","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","6.59","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","90","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","95","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","97","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","41100.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","43257.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","45036.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","18.32","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","19.25","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","34.18","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","10","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","12","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","11","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","2946.29","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","2878.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","2805.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","14.3","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","20.88","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","23.43","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","6","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","14","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","12","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","22019.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","23820.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","25670.05","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","31.84","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","40.62","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","31.22","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","40","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","41","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","40","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","8362.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","8642.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","8907.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","3.68","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","7.12","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","11.09","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","24","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","26","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","26","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","9237.2","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","9863.48","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","10284.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","6.9","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","15.06","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","15.49","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","5","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","3","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","4","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","373.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","392.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","406.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","9.15","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","4.76","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","6.98","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","50","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","48","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","50","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","1477.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","048","Bahrain","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","12.54","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","34","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","148391.14","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","157830","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","167420.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","1.64","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","1.63","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","1.67","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","39","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","48","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","53","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","274.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","278.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","280.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","10.07","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","7.74","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","7.77","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","76","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","82","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","90","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","9731.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","9700.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","9633.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","5.22","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","29.31","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","30.29","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","29","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","20","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","20","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","10877.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","11248.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","11561.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","13.14","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","9.58","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","43.64","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","37","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","38","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","39","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","322.11","X","Figure from international organizations"
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","359.87","X","Figure from international organizations"
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","394.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","2.51","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","2.54","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","2.73","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","27","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","21","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","23","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","9445.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","10932.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","12643.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","2.89","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","2.86","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","3.01","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","24","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","33","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","30","E","Estimated value"
"FBS","Food Balances (2010-)","064","Bhutan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","772.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","064","Bhutan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","1.48","E","Estimated value"
"FBS","Food Balances (2010-)","064","Bhutan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","14","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","10223.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","11090.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","11936.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","11.99","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","13.19","E","Estimated value"
